result,date,year,slam,result2,round,tourney_name,tourney_year,tourney_id,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of
2R,19 January 1998,1998,Australian Open,R64,R64,Australian Open,1998,1998-W-SL-AUS-01A-1998,Hard,128,G,1998-01-19T00:00:00.000,089,200748,,,Venus Williams,R,185,USA,,16,1474,200033,,,Serena Williams,R,175,USA,,53,487,7-6(4) 6-1,3
4R,25 May 1998,1998,French Open,R16,R16,French Open,1998,1998-W-SL-FRA-01A-1998,Clay,128,G,1998-05-25T00:00:00.000,118,200017,4,,Arantxa Sanchez Vicario,R,,ESP,,5,2716,200033,,,Serena Williams,R,175,USA,,27,958,4-6 7-5 6-3,3
3R,22 June 1998,1998,Wimbledon,R32,R32,Wimbledon,1998,1998-W-SL-GBR-01A-1998,Grass,128,G,1998-06-22T00:00:00.000,103,200118,,,Virginia Ruano Pascual,R,169,ESP,,47,594,200033,,,Serena Williams,R,175,USA,,20,1216,7-5 4-1 RET,3
3R,31 August 1998,1998,US Open,R32,R32,US Open,1998,1998-W-SL-USA-01A-1998,Hard,128,G,1998-08-31T00:00:00.000,102,200051,9,,Irina Spirlea,R,,ROU,,8,2204,200033,,,Serena Williams,R,175,USA,,20,1362,6-3 0-6 7-5,3
3R,18 January 1999,1999,Australian Open,R32,R32,Australian Open,1999,1999-W-SL-AUS-01A-1999,Hard,128,G,1999-01-18T00:00:00.000,106,200016,14,,Sandrine Testud,R,,FRA,,15,1885,200033,,,Serena Williams,R,175,USA,,26,1099,6-2 2-6 9-7,3
3R,24 May 1999,1999,French Open,R32,R32,French Open,1999,1999-W-SL-FRA-01A-1999,Clay,128,G,1999-05-24T00:00:00.000,103,200597,,,Mary Joe Fernandez,R,,USA,,37,701,200033,10,,Serena Williams,R,175,USA,,10,2089,6-3 1-6 6-0,3
W,30 August 1999,1999,US Open,F,F,US Open,1999,1999-W-SL-USA-01A-1999,Hard,128,G,1999-08-30T00:00:00.000,127,200033,7,,Serena Williams,R,175,USA,,6,2154,200001,1,,Martina Hingis,R,170,SUI,,1,5654,6-3 7-6,3
4R,17 January 2000,2000,Australian Open,R16,R16,Australian Open,2000,2000-W-SL-AUS-01A-2000,Hard,128,G,2000-01-17T00:00:00.000,115,200048,16,,Elena Likhovtseva,R,,RUS,,18,1397,200033,3,,Serena Williams,R,175,USA,,4,2993,6-3 6-3,3
SF,26 June 2000,2000,Wimbledon,SF,SF,Wimbledon,2000,2000-W-SL-GBR-01A-2000,Grass,128,G,2000-06-26T00:00:00.000,125,200748,5,,Venus Williams,R,185,USA,,5,2647,200033,8,,Serena Williams,R,175,USA,,8,2254,6-2 7-6,3
QF,28 August 2000,2000,US Open,QF,QF,US Open,2000,2000-W-SL-USA-01A-2000,Hard,128,G,2000-08-22T00:00:00.000,124,200128,2,,Lindsay Davenport,R,189,USA,,2,5538,200033,5,,Serena Williams,R,175,USA,,5,2911,6-4 6-2,3
QF,15 January 2001,2001,Australian Open,QF,QF,Australian Open,2001,2001-W-SL-AUS-01A-2001,Hard,128,G,2001-01-15T00:00:00.000,121,200001,1,,Martina Hingis,R,170,SUI,,1,6252,200033,6,,Serena Williams,R,175,USA,,6,2374,6-2 3-6 8-6,3
QF,28 May 2001,2001,French Open,QF,QF,French Open,2001,2001-W-SL-FRA-01A-2001,Clay,128,G,2001-05-28T00:00:00.000,122,200077,4,,Jennifer Capriati,R,170,USA,,4,3338,200033,6,,Serena Williams,R,175,USA,,7,2319,6-2 5-7 6-2,3
QF,25 June 2001,2001,Wimbledon,QF,QF,Wimbledon,2001,2001-W-SL-GBR-01A-2001,Grass,128,G,2001-06-25T00:00:00.000,122,200077,4,,Jennifer Capriati,R,170,USA,,4,4149,200033,5,,Serena Williams,R,175,USA,,5,2481,6-7(4) 7-5 6-3,3
F,27 August 2001,2001,US Open,F,F,US Open,2001,2001-W-SL-USA-01A-2001,Hard,128,G,2001-08-27T00:00:00.000,127,200748,4,,Venus Williams,R,185,USA,,4,4433,200033,10,,Serena Williams,R,175,USA,,10,2125,6-2 6-4,3
W,27 May 2002,2002,French Open,F,F,French Open,2002,2002-W-SL-FRA-01A-2002,Clay,128,G,2002-05-27T00:00:00.000,127,200033,3,,Serena Williams,R,175,USA,,3,4036,200748,2,,Venus Williams,R,185,USA,,2,4591,7-5 6-3,3
W,24 June 2002,2002,Wimbledon,F,F,Wimbledon,2002,2002-W-SL-GBR-01A-2002,Grass,128,G,2002-06-24T00:00:00.000,127,200033,2,,Serena Williams,R,175,USA,,2,4926,200748,1,,Venus Williams,R,185,USA,,1,5205,7-6(4) 6-3,3
W,26 August 2002,2002,US Open,F,F,US Open,2002,2002-W-SL-USA-01A-2002,Hard,128,G,2002-08-26T00:00:00.000,127,200033,1,,Serena Williams,R,175,USA,,1,5322,200748,2,,Venus Williams,R,185,USA,,2,5067,6-4 6-3,3
W,13 January 2003,2003,Australian Open,F,F,Australian Open,2003,2003-W-SL-AUS-01A-2003,Hard,128,G,2003-01-13T00:00:00.000,127,200033,1,,Serena Williams,R,175,USA,,1,5941,200748,2,,Venus Williams,R,185,USA,,2,4942,7-6(4) 3-6 6-4,3
SF,26 May 2003,2003,French Open,SF,SF,French Open,2003,2003-W-SL-FRA-01A-2003,Clay,128,G,2003-05-26T00:00:00.000,125,200003,4,,Justine Henin,R,167,BEL,,4,3618,200033,1,,Serena Williams,R,175,USA,,1,6552,6-2 4-6 7-5,3
W,23 June 2003,2003,Wimbledon,F,F,Wimbledon,2003,2003-W-SL-GBR-01A-2003,Grass,128,G,2003-06-23T00:00:00.000,127,200033,1,,Serena Williams,R,175,USA,,1,6006,200748,4,,Venus Williams,R,185,USA,,4,4028,4-6 6-4 6-2,3
QF,24 May 2004,2004,French Open,QF,QF,French Open,2004,2004-W-SL-FRA-01A-2004,Clay,128,G,2004-05-24T00:00:00.000,124,200077,7,,Jennifer Capriati,R,170,USA,,6,2519,200033,2,,Serena Williams,R,175,USA,,7,2351,6-3 2-6 6-3,3
F,21 June 2004,2004,Wimbledon,F,F,Wimbledon,2004,2004-W-SL-GBR-01A-2004,Grass,128,G,2004-06-21T00:00:00.000,127,201345,13,,Maria Sharapova,R,,RUS,,15,1654,200033,1,,Serena Williams,R,175,USA,,10,2055,6-1 6-4,3
QF,30 August 2004,2004,US Open,QF,QF,US Open,2004,2004-W-SL-USA-01A-2004,Hard,128,G,2004-08-30T00:00:00.000,123,200077,8,,Jennifer Capriati,R,170,USA,,8,2414,200033,3,,Serena Williams,R,175,USA,,11,1995,2-6 6-4 6-4,3
W,17 January 2005,2005,Australian Open,F,F,Australian Open,2005,2005-W-SL-AUS-01A-2005,Hard,128,G,2005-01-17T00:00:00.000,127,200033,7,,Serena Williams,R,175,USA,,7,3128,200128,1,,Lindsay Davenport,R,189,USA,,1,4666,2-6 6-3 6-0,3
3R,20 June 2005,2005,Wimbledon,R32,R32,Wimbledon,2005,2005-W-SL-GBR-01A-2005,Grass,128,G,2005-06-20T00:00:00.000,108,200754,,,Jill Craybas,R,160,USA,,85,421,200033,4,,Serena Williams,R,175,USA,,4,3781,6-3 7-6(4),3
4R,29 August 2005,2005,US Open,R16,R16,US Open,2005,2005-W-SL-USA-01A-2005,Hard,128,G,2005-08-29T00:00:00.000,116,200748,10,,Venus Williams,R,185,USA,,10,2658,200033,8,,Serena Williams,R,175,USA,,8,2845,7-6(5) 6-2,3
3R,16 January 2006,2006,Australian Open,R32,R32,Australian Open,2006,2006-W-SL-AUS-01A-2006,Hard,128,G,2006-01-16T00:00:00.000,102,201290,17,,Daniela Hantuchova,R,181,SVK,,17,1081,200033,13,,Serena Williams,R,175,USA,,15,1175,6-1 7-6(5),3
4R,28 August 2006,2006,US Open,R16,R16,US Open,2006,2006-W-SL-USA-01A-2006,Hard,128,G,2006-08-28T00:00:00.000,113,200065,1,,Amelie Mauresmo,R,175,FRA,,1,3470,200033,,WC,Serena Williams,R,175,USA,,91,302,6-4 0-6 6-2,3
W,15 January 2007,2007,Australian Open,F,F,Australian Open,2007,2007-W-SL-AUS-01A-2007,Hard,128,G,2007-01-15T00:00:00.000,127,200033,,,Serena Williams,R,175,USA,,81,331,201345,1,,Maria Sharapova,R,,RUS,,2,3532,6-1 6-2,3
QF,28 May 2007,2007,French Open,QF,QF,French Open,2007,2007-W-SL-FRA-01A-2007,Clay,128,G,2007-05-28T00:00:00.000,121,200003,1,,Justine Henin,R,167,BEL,,1,4119,200033,8,,Serena Williams,R,175,USA,,8,1880,6-4 6-3,3
QF,25 June 2007,2007,Wimbledon,QF,QF,Wimbledon,2007,2007-W-SL-GBR-01A-2007,Grass,128,G,2007-06-25T00:00:00.000,121,200003,1,,Justine Henin,R,167,BEL,,1,4499,200033,7,,Serena Williams,R,175,USA,,8,2130,6-4 3-6 6-3,3
QF,27 August 2007,2007,US Open,QF,QF,US Open,2007,2007-W-SL-USA-01A-2007,Hard,128,G,2007-08-27T00:00:00.000,121,200003,1,,Justine Henin,R,167,BEL,,1,4692,200033,8,,Serena Williams,R,175,USA,,9,2237,7-6(3) 6-1,3
QF,14 January 2008,2008,Australian Open,QF,QF,Australian Open,2008,2008-W-SL-AUS-01A-2008,Hard,128,G,2008-01-14T00:00:00.000,122,201347,3,,Jelena Jankovic,R,177,SRB,,4,3390,200033,7,,Serena Williams,R,175,USA,,7,2772,6-3 6-4,3
3R,26 May 2008,2008,French Open,R32,R32,French Open,2008,2008-W-SL-FRA-01A-2008,Clay,128,G,2008-05-26T00:00:00.000,109,200011,27,,Katarina Srebotnik,R,180,SLO,,24,1060,200033,5,,Serena Williams,R,175,USA,,5,2836,6-4 6-4,3
F,23 June 2008,2008,Wimbledon,F,F,Wimbledon,2008,2008-W-SL-GBR-01A-2008,Grass,128,G,2008-06-23T00:00:00.000,127,200748,7,,Venus Williams,R,185,USA,,7,2606,200033,6,,Serena Williams,R,175,USA,,6,2676,7-5 6-4,3
W,25 August 2008,2008,US Open,F,F,US Open,2008,2008-W-SL-USA-01A-2008,Hard,128,G,2008-08-25T00:00:00.000,127,200033,4,,Serena Williams,R,175,USA,,3,3341,201347,2,,Jelena Jankovic,R,177,SRB,,2,3515,6-4 7-5,3
W,19 January 2009,2009,Australian Open,F,F,Australian Open,2009,2009-W-SL-AUS-01A-2009,Hard,128,G,2009-01-19T00:00:00.000,127,200033,2,,Serena Williams,R,175,USA,,2,7932,201336,3,,Dinara Safina,R,182,RUS,,3,7754,6-0 6-3,3
QF,25 May 2009,2009,French Open,QF,QF,French Open,2009,2009-W-SL-FRA-01A-2009,Clay,128,G,2009-05-25T00:00:00.000,124,201320,7,,Svetlana Kuznetsova,R,174,RUS,,7,5091,200033,2,,Serena Williams,R,175,USA,,2,7838,7-6(3) 5-7 7-5,3
W,22 June 2009,2009,Wimbledon,F,F,Wimbledon,2009,2009-W-SL-GBR-01A-2009,Grass,128,G,2009-06-22T00:00:00.000,127,200033,2,,Serena Williams,R,175,USA,,2,8158,200748,3,,Venus Williams,R,185,USA,,3,7217,7-6(3) 6-2,3
SF,31 August 2009,2009,US Open,SF,SF,US Open,2009,2009-W-SL-USA-01A-2009,Hard,128,G,2009-08-31T00:00:00.000,126,200079,,WC,Kim Clijsters,R,,BEL,,,,200033,2,,Serena Williams,R,175,USA,,2,8907,6-4 7-5,3
W,18 January 2010,2010,Australian Open,F,F,Australian Open,2010,2010-W-SL-AUS-01A-2010,Hard,128,G,2010-01-18T00:00:00.000,127,200033,1,,Serena Williams,R,175,USA,,1,9195,200003,,WC,Justine Henin,R,167,BEL,,,,6-4 3-6 6-2,3
QF,24 May 2010,2010,French Open,QF,QF,French Open,2010,2010-W-SL-FRA-01A-2010,Clay,128,G,2010-05-24T00:00:00.000,121,201325,7,,Samantha Stosur,R,172,AUS,,7,4405,200033,1,,Serena Williams,R,175,USA,,1,8475,6-2 6-7(2) 8-6,3
W,21 June 2010,2010,Wimbledon,F,F,Wimbledon,2010,2010-W-SL-GBR-01A-2010,Grass,128,G,2010-06-21T00:00:00.000,127,200033,1,,Serena Williams,R,175,USA,,1,8475,201329,21,,Vera Zvonareva,R,172,RUS,,21,2725,6-3 6-2,3
4R,20 June 2011,2011,Wimbledon,R16,R16,Wimbledon,2011,2011-W-SL-GBR-01A-2011,Grass,128,G,2011-06-20T00:00:00.000,116,201294,9,,Marion Bartoli,R,170,FRA,,9,4010,200033,7,,Serena Williams,R,175,USA,,25,2060,6-3 7-6(6),3
F,29 August 2011,2011,US Open,F,F,US Open,2011,2011-W-SL-USA-01A-2011,Hard,128,G,2011-08-29T00:00:00.000,127,201325,9,,Samantha Stosur,R,172,AUS,,10,3880,200033,28,,Serena Williams,R,175,USA,,27,1780,6-2 6-3,3
4R,16 January 2012,2012,Australian Open,R16,R16,Australian Open,2012,2012-W-SL-AUS-01A-2012,Hard,128,G,2012-01-16T00:00:00.000,117,201505,,,Ekaterina Makarova,L,178,RUS,,56,1114,200033,12,,Serena Williams,R,175,USA,,12,3300,6-2 6-3,3
1R,28 May 2012,2012,French Open,R128,R128,French Open,2012,2012-W-SL-FRA-01A-2012,Clay,128,G,2012-05-28T00:00:00.000,049,200043,,,Virginie Razzano,R,173,FRA,,111,621,200033,5,,Serena Williams,R,175,USA,,5,5695,4-6 7-6(5) 6-3,3
W,25 June 2012,2012,Wimbledon,F,F,Wimbledon,2012,2012-W-SL-GBR-01A-2012,Grass,128,G,2012-06-25T00:00:00.000,127,200033,6,,Serena Williams,R,175,USA,,6,5640,201474,3,,Agnieszka Radwanska,R,170,POL,,3,7230,6-1 5-7 6-2,3
W,27 August 2012,2012,US Open,F,F,US Open,2012,2012-W-SL-USA-01A-2012,Hard,128,G,2012-08-27T00:00:00.000,127,200033,4,,Serena Williams,R,175,USA,,4,7300,201458,1,,Victoria Azarenka,R,180,BLR,,1,9025,6-2 2-6 7-5,3
QF,14 January 2013,2013,Australian Open,QF,QF,Australian Open,2013,2013-W-SL-AUS-01A-2013,Hard,128,G,2013-01-14T00:00:00.000,122,201585,29,,Sloane Stephens,R,170,USA,,25,1666,200033,3,,Serena Williams,R,175,USA,,3,9750,3-6 7-5 6-4,3
W,27 May 2013,2013,French Open,F,F,French Open,2013,2013-W-SL-FRA-01A-2013,Clay,128,G,2013-05-27T00:00:00.000,127,200033,1,,Serena Williams,R,175,USA,,1,11620,201345,2,,Maria Sharapova,R,,RUS,,2,10015,6-4 6-4,3
4R,24 June 2013,2013,Wimbledon,R16,R16,Wimbledon,2013,2013-W-SL-GBR-01A-2013,Grass,128,G,2013-06-24T00:00:00.000,113,201513,23,,Sabine Lisicki,R,178,GER,,24,1750,200033,1,,Serena Williams,R,175,USA,,1,13615,6-2 1-6 6-4,3
W,26 August 2013,2013,US Open,F,F,US Open,2013,2013-W-SL-USA-01A-2013,Hard,128,G,2013-08-26T00:00:00.000,127,200033,1,,Serena Williams,R,175,USA,,1,12260,201458,2,,Victoria Azarenka,R,180,BLR,,2,9505,7-5 6-7(6) 6-1,3
4R,13 January 2014,2014,Australian Open,R16,R16,Australian Open,2014,2014-W-SL-AUS-01A-2014,Hard,128,G,2014-01-13T00:00:00.000,113,201421,14,,Ana Ivanovic,R,183,SRB,,14,3010,200033,1,,Serena Williams,R,175,USA,,1,13260,4-6 6-3 6-3,3
2R,26 May 2014,2014,French Open,R64,R64,French Open,2014,2014-W-SL-FRA-01A-2014,Clay,128,G,2014-05-26T00:00:00.000,065,202469,,,Garbine Muguruza,R,182,ESP,,35,1375,200033,1,,Serena Williams,R,175,USA,,1,11590,6-2 6-2,3
3R,23 June 2014,2014,Wimbledon,R32,R32,Wimbledon,2014,2014-W-SL-GBR-01A-2014,Grass,128,G,2014-06-23T00:00:00.000,097,201427,25,,Alize Cornet,R,173,FRA,,24,1995,200033,1,,Serena Williams,R,175,USA,,1,9660,1-6 6-3 6-4,3
W,25 August 2014,2014,US Open,F,F,US Open,2014,2014-W-SL-USA-01A-2014,Hard,128,G,2014-08-25T00:00:00.000,127,200033,1,,Serena Williams,R,175,USA,,1,9430,201496,10,,Caroline Wozniacki,R,177,DEN,,11,3165,6-3 6-3,3
W,19 January 2015,2015,Australian Open,F,F,Australian Open,2015,2015-W-SL-AUS-01A-2015,Hard,128,G,2015-01-19T00:00:00.000,127,200033,1,,Serena Williams,R,175,USA,,1,8016,201345,2,,Maria Sharapova,R,,RUS,,2,7335,6-3 7-6(5),3
W,25 May 2015,2015,French Open,F,F,French Open,2015,2015-W-SL-FRA-01A-2015,Clay,128,G,2015-05-25T00:00:00.000,127,200033,1,,Serena Williams,R,175,USA,,1,9361,201425,13,,Lucie Safarova,L,177,CZE,,13,2995,6-3 6-7(2) 6-2,3
W,29 June 2015,2015,Wimbledon,F,F,Wimbledon,2015,2015-W-SL-GBR-01A-2015,Grass,128,G,2015-06-29T00:00:00.000,127,200033,1,,Serena Williams,R,175,USA,,1,11291,202469,20,,Garbine Muguruza,R,182,ESP,,20,2075,6-4 6-4,3
SF,31 August 2015,2015,US Open,SF,SF,US Open,2015,2015-W-SL-USA-01A-2015,Hard,128,G,2015-08-31T00:00:00.000,125,201311,,,Roberta Vinci,R,163,ITA,,43,1260,200033,1,,Serena Williams,R,175,USA,,1,12721,2-6 6-4 6-4,3
F,18 January 2016,2016,Australian Open,F,F,Australian Open,2016,2016-580,Hard,128,G,2016-01-18T00:00:00.000,226,201493,7,,Angelique Kerber,L,173,GER,,6,3710,200033,1,,Serena Williams,R,175,USA,,1,9945,6-4 3-6 6-4,3
F,23 May 2016,2016,French Open,F,F,French Open,2016,2016-520,Clay,128,G,2016-05-23T00:00:00.000,226,202469,4,,Garbine Muguruza,R,182,ESP,,4,5196,200033,1,,Serena Williams,R,175,USA,,1,9030,7-5 6-4,3
W,27 June 2016,2016,Wimbledon,F,F,Wimbledon,2016,2016-540,Grass,128,G,2016-06-27T00:00:00.000,226,200033,1,,Serena Williams,R,175,USA,,1,8330,201493,4,,Angelique Kerber,L,173,GER,,4,5330,7-5 6-3,3
SF,29 August 2016,2016,US Open,SF,SF,US Open,2016,2016-580,Hard,128,G,2016-01-16T00:00:00.000,226,200033,2,,Karolína Plísková,R,175,CZE,,10,7080,200748,13,,Serena Williams,R,185,USA,,1,2240,6-2 7-6(5),3
W,16 January 2017,2017,Australian Open,F,F,Australian Open,2017,2017-580,Hard,128,G,2017-01-16T00:00:00.000,226,200033,2,,Serena Williams,R,175,USA,,2,7080,200748,13,,Venus Williams,R,185,USA,,17,2240,6-4 6-4,3
4R,28 May 2018,2018,French Open,4F,4F,French Open,2017,2018-580,Hard,128,G,2017-01-16T00:00:00.000,226,200033,28,,Maria Sharapova,R,28,RUS,,2,7080,200748,,,Serena Williams,R,185,USA,,,2240,w/o,3
F,02 July 2018,2018,Wimbledon,F,F,Wimbledon,2018,2018-580,Grass,128,G,2017-01-16T00:00:00.000,226,200033,2,,Angelique Kerber,R,25,GER,,2,7080,200748,13,,Serena Williams,R,185,USA,,25,2240,6-3 6-3,3
